,ID,C_Environment,C_Condition,C_Cycle,C_Trial,C_QuestionNum,C_Question,C_Answer,C_AssignedWait,C_Response,C_QPresent,C_StartRT,C_WaitStart,C_WaitTime,C_TrialLength,C_CycleLength,C_Jitter,C_AverageWait,MC_Correct
310,32,1,2,2,39,3,Don't Stand So Close to Me by the Police was inspired by what literary work?,Lolita by Vladimir Nabokov,8.316,W,98.045,4.395,4.923,8.321,17.249,603.4751869,3.013433057,6.61362069,0
311,32,1,2,2,40,799,What's the only stock from the original Dow Jones Industrial Average that's still used in computing the index?,General Electric ,19.295,W,118.351,6.81,7.342,19.3,30.647,603.4751869,2.351999732,6.61362069,1
312,32,1,2,2,41,744,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,Cadabra.com ,5.722,W,151.388,6.62,7.158,5.725,16.899,603.4751869,1.822658496,6.61362069,1
313,32,1,2,2,42,957,Who was sent to the electric chair on the testimony of her brother David Greenglass?,Ether Rosenberg ,1.721,W,170.142,5.562,6.09,1.724,11.825,603.4751869,2.180337532,6.61362069,0
314,32,1,2,2,43,672,What sports term is the shortest word ever to decide the National Spelling Bee?   ,Luge,10.603,W,184.19,5.57,6.107,10.606,20.721,603.4751869,1.1945719,6.61362069,1
315,32,1,2,2,44,613,What owner-bartender of Chicago's Lone Star Saloon was famous for his drug-laced drinks? ,Mickey Finn,15.693,K,206.148,6.948,7.475,0.498,8.493,603.4751869,3.690333983,6.61362069,0
316,32,1,2,2,45,275,"The SS Faith, a ship built by Leslie Comyn, was made of what unique material?",Cement,10.272,S,218.362,6.622,7.158,5.025,12.698,603.4751869,3.559256826,6.61362069,NA
317,32,1,2,2,46,942,"Who performs the guest guitar solo on Michael Jackson's ""Beat It""?  ",Eddie Van Halen,15.247,W,234.646,4.538,5.072,15.25,24.341,603.4751869,1.830956506,6.61362069,1
318,32,1,2,2,47,39,"Anciently, what was the job description of a ""hierodule""?",Temple Prostitute,6.902,S,260.859,6.317,6.84,5.253,12.614,603.4751869,1.353642564,6.61362069,NA
319,32,1,2,2,48,971,Who was the only U.S. president to have been married in the White House? ,Grover Cleveland ,3.626,W,274.857,5.159,5.69,3.629,13.328,603.4751869,2.199544284,6.61362069,1
320,32,1,2,2,49,824,"Which accidentally invented household items were first marketed as ""friction lights""? ",Matches,0.588,W,290.425,6.951,7.475,0.591,12.076,603.4751869,3.035259273,6.61362069,1
321,32,1,2,2,50,831,Which animal was named for what was wrongly thought to be its country of origin? ,Turkey,19.181,K,305.574,4.618,5.156,0.278,5.94,603.4751869,2.712198766,6.61362069,0
322,32,1,2,2,51,728,What was the 11th-century Spanish military leader Rodrigo Diaz de Vivar better known as?  ,El Cid ,11.039,S,314.251,5.917,6.441,4.644,11.596,603.4751869,2.184698369,6.61362069,NA
323,32,1,2,2,52,460,What game show host took his stage name from the college in his West Virginia hometown? ,Peter Marshall,6.248,W,328.066,7.75,8.275,6.251,18.533,603.4751869,1.137303761,6.61362069,0
324,32,1,2,2,53,465,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,An ostrich egg yolk ,1.64,W,347.771,8.261,8.793,1.643,14.445,603.4751869,1.059929938,6.61362069,1
325,32,1,2,2,54,556,What islands are home to most of the world's blue-footed boobies? ,The Galapagos Islands ,18.663,S,363.305,6.896,7.425,3.607,11.547,603.4751869,1.321685149,6.61362069,NA
326,32,1,2,2,55,52,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?",Liberia,12.53,S,376.22,6.292,6.824,6.317,13.648,603.4751869,1.196435324,6.61362069,NA
327,32,1,2,2,56,661,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,Nutmeg,9.509,W,391.102,4.714,5.239,9.512,18.768,603.4751869,3.409676435,6.61362069,1
328,32,1,2,2,57,795,What's the only country to have hosted a Summer Olympics in which it didn't win a single medal?   ,Canada,6.248,K,413.31,6.394,6.924,0.398,7.843,603.4751869,3.546983368,6.61362069,0
329,32,1,2,2,58,485,What Internet portal was sued for copyright infringement in 2000 by the star of Young Einstein? ,Yahoo!,10.527,S,424.756,7.98,8.509,9.239,18.254,603.4751869,2.850124146,6.61362069,NA
330,32,1,2,2,59,642,What restaurant chain was the brainchild of Atari founder Nolan Bushnell? ,Chuck E. Cheese's,1.734,W,445.896,6.512,7.042,1.737,12.793,603.4751869,1.323303827,6.61362069,1
331,32,1,2,2,60,250,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,Near Alaska,15.746,S,460.045,5.475,6.006,1.124,7.642,603.4751869,1.522107414,6.61362069,NA
332,32,1,2,2,61,286,"The world's largest church is Our Lady of Peace Basilica in Yamoussoukro, what nation's capital?",Ivory Coast's ,9.633,S,469.238,7.698,8.227,7.927,16.668,603.4751869,1.221607967,6.61362069,NA
333,32,1,2,2,62,822,Where would you find the popular party resort of Magaluf?   ,Majorca,15.693,S,487.159,4.273,4.805,1.325,6.641,603.4751869,1.383818431,6.61362069,NA
334,32,1,2,2,63,807,"When asked to define ""cool,"" what two words did James Brown use? ",James Brown,11.039,W,495.217,5.431,5.957,11.042,21.003,603.4751869,2.144067439,6.61362069,1
335,32,1,2,2,64,871,What is the only cat that cannot retract its claws? ,Cheetah,4.475,K,518.392,4.088,4.622,0.45,5.591,603.4751869,1.630662645,6.61362069,1
336,32,1,2,2,65,784,What's the more common name for the retinal scotoma caused by the optic nerve? ,Your blind spot,9.509,K,525.667,9.333,9.86,0.552,10.93,603.4751869,2.150152477,6.61362069,1
337,32,1,2,2,66,75,"Europe's only free-range monkeys are the Barbary apes, which live where?",Gibralter,17.501,S,538.781,5.915,6.441,9.202,16.153,603.4751869,2.21364081,6.61362069,NA
338,32,1,2,2,67,591,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",Ozone,10.448,W,557.202,6.862,7.392,10.451,21.853,603.4751869,1.206147227,6.61362069,1
339,32,1,2,2,68,284,"The word serendipity comes from Serendip, the Persian name for what island? ",Sri Lanka,3.363,S,580.294,8.178,8.71,1.444,10.662,603.4751869,2.470588908,6.61362069,NA
340,32,1,2,2,69,753,What was the only children's story ever published by James Bond creator Ian Fleming? ,Chitty Chitty Bang Bang ,5.46,NA,593.459,NA,NA,NA,NA,603.4751869,2.535569496,6.61362069,NA
341,32,2,2,3,70,887,Which person has been awarded the most Oscars ever? ,Walt Disney,37.611,K,0.036,6.252,6.774,0.638,7.926,600.2462835,1.588011096,7.505444444,0
342,32,2,2,3,71,484,What instrument was invented to sound like a human singing? ,Violin,0.793,K,9.58,3.98,4.505,0.267,5.29,600.2462835,2.08960516,7.505444444,0
343,32,2,2,3,72,288,"The world's smallest park, measuring two feet in diameter, is located in what U.S. state? ",Oregon ,2.008,W,16.988,7.628,8.159,2.011,14.179,600.2462835,3.881068918,7.505444444,1
344,32,2,2,3,73,719,What was first made by suspending paraffin in a solution of water and antifreeze? ,Lava lamp ,19.946,W,35.092,6.876,7.408,19.949,31.365,600.2462835,2.548621382,7.505444444,1
345,32,2,2,3,74,857,Which country has the most public libraries?  ,Russia,1.092,W,69.046,6.642,7.174,1.095,12.276,600.2462835,1.782633008,7.505444444,1
346,32,2,2,3,75,745,What was the most expensive drawing ever sold?  ,Danseuse au Repos by Edgar Degas,5.517,W,83.145,3.863,4.387,5.52,13.911,600.2462835,2.157380298,7.505444444,0
347,32,2,2,3,76,924,"Who had the last number one hit of the 1950s with his song ""Why""? ",Frankie Avalon ,11.657,W,99.245,4.859,5.389,11.66,21.07,600.2462835,1.461127485,7.505444444,0
348,32,2,2,3,77,260,The Italian government regulates the price of what beverage?,Espresso,0.481,NA,121.821,NA,NA,NA,NA,600.2462835,1.873084968,7.505444444,NA
349,32,2,2,3,78,423,What does an anemometer measure? ,Speed of wind,6.85,K,134.769,3.329,3.854,0.354,4.722,600.2462835,2.98653988,7.505444444,1
350,32,2,2,3,79,20,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",Eric the Red,65.879,K,142.51,5.522,6.056,0.241,6.808,600.2462835,1.558290336,7.505444444,0
351,32,2,2,3,80,882,Which of Henry VIII's wives is buried next to him?  ,Jane Seymour ,3.121,W,150.919,3.377,3.905,3.124,11.042,600.2462835,3.548228889,7.505444444,0
352,32,2,2,3,81,397,What country borders both of the world's only two nations with square flags? ,Italy ,4.236,W,165.552,6.72,7.259,4.239,15.514,600.2462835,1.963733916,7.505444444,0
353,32,2,2,3,82,802,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",All in the Family ,7.86,W,183.071,6.305,6.841,7.863,18.717,600.2462835,3.963502641,7.505444444,1
354,32,2,2,3,83,733,What was the first CD pressed for commerical release in the U.S.?,Bruce Springsteen's Born in the USA ,23.671,W,205.779,2.589,3.121,23.674,30.814,600.2462835,3.401799006,7.505444444,1
355,32,2,2,3,84,600,What nation is home to the only tunnel in the world longer than the Chunnel?  ,Japan ,1.4,S,240.034,4.638,5.173,0.873,6.558,600.2462835,3.875193473,7.505444444,NA
356,32,2,2,3,85,649,"What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?",8 Mile Road ,24.37,S,250.513,7.903,8.425,1.198,10.145,600.2462835,3.5299179,7.505444444,NA
357,32,2,2,3,86,499,"What is believed to have received its name from the Portuguese word for ""simpleton""? ",The dodo,1.401,W,264.244,4.596,5.122,1.404,10.541,600.2462835,1.434784306,7.505444444,1
358,32,2,2,3,87,654,"What school has the most students over age 25, according to U.S. News & World Report?",University of Phoenix,6.714,W,276.257,5.278,5.806,6.717,16.531,600.2462835,3.79045181,7.505444444,1
359,32,2,2,3,88,742,What was the game of Scrabble originally called? ,Criss-Cross ,1.971,W,296.613,2.619,3.154,1.974,9.14,600.2462835,3.501152539,7.505444444,0
360,32,2,2,3,89,231,The Admiral is which type of insect? ,Butterfly,40.087,W,309.294,3.362,3.888,40.09,47.983,600.2462835,2.66027261,7.505444444,1
361,32,2,2,3,90,557,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,Gabriele Falloppio ,8.146,W,359.967,5.977,6.507,8.149,18.668,600.2462835,3.002695194,7.505444444,1
362,32,2,2,3,91,526,What is the name of the ship that carried Captain Cook to Australia?  ,Endeavour ,0.481,W,381.674,3.542,4.071,0.484,8.573,600.2462835,1.940388425,7.505444444,1
363,32,2,2,3,92,910,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",Captain Cook ,2.616,W,392.219,4.317,4.855,2.619,11.492,600.2462835,3.639236234,7.505444444,0
364,32,2,2,3,93,227,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",The crust and the mantle,6.606,W,407.385,6.775,7.308,6.609,17.933,600.2462835,2.726445487,7.505444444,1
365,32,2,2,3,94,658,What singer took his stage name from a Dublin hearing aid billboard?  ,Bono ,21.9,W,428.075,4.821,5.357,21.903,31.265,600.2462835,1.863615185,7.505444444,1
366,32,2,2,3,95,534,What is the only English word with three consecutive double letters?  ,Bookkeeper,4.991,K,461.245,2.523,3.053,0.765,4.339,600.2462835,2.038529432,7.505444444,1
367,32,2,2,3,96,979,"Who's the only character in ""Peter and the Wolf"" represented by a brass instrument?",The wolf (french horn),0.575,K,467.669,7.435,7.959,0.364,8.843,600.2462835,1.772173518,7.505444444,1
368,32,2,2,3,97,944,Who provided the voice for cartoon character Inspector Gadget? ,Don Adams,0.687,W,478.331,7.605,8.142,0.69,12.844,600.2462835,1.101803578,7.505444444,0
369,32,2,2,3,98,79,"For his tenacity, 19th century biologist Thomas Huxley was nicknamed whose ""bulldog""?",Darwin's,12.196,W,492.312,5.464,5.99,12.199,22.204,600.2462835,1.971846715,7.505444444,1
370,32,2,2,3,99,440,What famed TV personality wrote the screenplay for 1968's Planet of the Apes? ,Rod Serling ,5.16,K,516.522,5.966,6.491,1.875,8.878,600.2462835,2.225355437,7.505444444,0
371,32,2,2,3,100,497,What is an esker? ,A glacial ridge,21.016,S,527.668,1.732,2.269,7.887,10.661,600.2462835,2.037774293,7.505444444,NA
372,32,2,2,3,101,493,What is a nene?,A Hawaiian goose,0.481,W,540.399,1.193,1.719,0.484,6.221,600.2462835,1.763752436,7.505444444,0
373,32,2,2,3,102,453,"What former president coined the phrase ""lunatic fringe"" to refer to the wackos in his own reform movement?",Theodore Roosevelt ,18.253,S,548.424,4.824,5.357,1.459,7.325,600.2462835,1.070566425,7.505444444,NA
374,32,2,2,3,103,504,What is measured in becquerels? ,Radioactivity,5.586,W,556.867,3.101,3.638,5.589,13.245,600.2462835,1.194309194,7.505444444,1
375,32,2,2,3,104,464,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",Zinfindel,43.027,S,571.35,5.578,6.106,3.184,9.81,600.2462835,1.068774994,7.505444444,NA
376,32,2,2,3,105,671,"What sport used the term ""home run"" long before baseball?  ",Cricket,37.611,K,582.262,6.538,7.074,0.352,7.942,600.2462835,2.880567973,7.505444444,1
377,32,2,2,3,106,400,"What country launched Europe's first super-high-speed passenger train, in 1981?",France,1.037,NA,593.124,6.596,NA,NA,NA,600.2462835,1.010764295,7.505444444,NA
378,32,1,2,4,107,47,Bauxite ore is mined so it can be processed into what metal?,Aluminum,10.659,W,0.027,3.317,3.854,10.662,18.533,600.7412461,3.762383475,6.181875,1
379,32,1,2,4,108,445,What famous philanthropist was the only Treasury secretary ever to serve under three presidents? ,Andrew Mellon,9.724,S,22.352,4,4.538,0.398,5.456,600.7412461,1.347476917,6.181875,NA
380,32,1,2,4,109,847,Which cartoonist is famous for creating the popular image of Santa Claus? ,Thomas Nast ,2.011,W,29.209,2.303,2.837,2.014,8.857,600.7412461,1.411119703,6.181875,1
381,32,1,2,4,110,24,"According to Thomas Malory, Sir Bedivere's last knightly act was to return what to a lake?",Excalibur,14.818,S,39.521,5.735,6.273,0.765,7.559,600.7412461,2.180585828,6.181875,NA
382,32,1,2,4,111,779,"What's sometimes called a ""licking stick"" or a ""tin sandwich""?  ",Harmonica,7.607,W,49.315,3.165,3.688,7.61,15.313,600.7412461,2.186110107,6.181875,1
383,32,1,2,4,112,376,What city has the only drive-thru post office in the world? ,Chicago,19.239,S,66.851,3.277,3.804,6.817,11.129,600.7412461,3.750747108,6.181875,NA
384,32,1,2,4,113,734,What was the first English play to be written especially for children? ,Peter Pan ,15.963,S,81.784,4.151,4.688,6.623,11.83,600.7412461,1.894710836,6.181875,NA
385,32,1,2,4,114,210,Prime Minister Lester Pearson won the Nobel Peace Prize for defusing what world crisis?,The Suez Crisis,8.982,W,95.566,4.562,5.089,8.985,18.084,600.7412461,2.290176304,6.181875,0
386,32,1,2,4,115,219,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",Air bags,11.413,W,115.972,6.051,6.59,11.416,22.02,600.7412461,3.751406533,6.181875,1
387,32,1,2,4,116,87,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,Genetics,2.07,W,141.784,5.376,5.907,2.072,11.994,600.7412461,2.826459498,6.181875,1
388,32,1,2,4,117,264,The Linke Scale is used to measure the blueness of what?,The sky,14.977,S,156.634,3.078,3.604,8.858,12.981,600.7412461,2.882007442,6.181875,NA
389,32,1,2,4,118,431,What English dynasty collapsed in the Wars of the Roses?  ,The Plantagenets,6.409,S,172.551,4.209,4.738,0.839,6.091,600.7412461,1.311381966,6.181875,NA
390,32,1,2,4,119,604,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",Pandemonium,19.869,K,180.009,6.039,6.574,0.241,7.326,600.7412461,3.406943413,6.181875,1
391,32,1,2,4,120,560,What Kansan was the only Native American ever to serve as U.S. vice president? ,Charles Curtis,4.717,W,190.788,6.404,6.941,4.72,15.68,600.7412461,2.833732831,6.181875,1
392,32,1,2,4,121,554,What island in Manila Bay was the site of a famous 1942 siege?  ,Corregidor,4.613,W,209.341,4.155,4.689,4.616,13.312,600.7412461,3.299739482,6.181875,0
393,32,1,2,4,122,349,"What began as a ligature of the letters ""e"" and ""t""?",Ampersand (&),19.731,S,225.993,7.662,8.192,5.655,14.367,600.7412461,1.092362687,6.181875,NA
394,32,1,2,4,123,542,What is the only type of lizard that has a voice? ,Gecko,7.607,W,241.493,3.451,3.988,7.61,15.613,600.7412461,1.090275156,6.181875,1
395,32,1,2,4,124,982,Whom did the Daughters of the American Revolution bar from singing at Constitution Hall in 1936?,Marian Anderson,12.13,S,258.229,8.147,8.676,0.999,10.195,600.7412461,2.65344364,6.181875,NA
396,32,1,2,4,125,221,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",Echinoderms,7.156,W,271.127,7.553,8.092,7.159,19.268,600.7412461,2.194691657,6.181875,1
397,32,1,2,4,126,697,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,Rooster,18.275,W,292.617,5.991,6.524,18.278,28.812,600.7412461,2.099272456,6.181875,1
398,32,1,2,4,127,67,"Deuteranopia, or Daltonism, is one of the most common varieties of what condition?",Color blindness,2.134,W,323.567,6.265,6.791,2.137,12.944,600.7412461,1.461659425,6.181875,1
399,32,1,2,4,128,396,"What can be built by the largest Lego set ever sold, a 5195-piece monstrosity? ",The Millenium Falcon ,11.413,W,338.017,5.391,5.923,11.416,21.353,600.7412461,1.627742057,6.181875,1
400,32,1,2,4,129,787,What's the most populous city in the Southern Hemisphere?,Sao Paulo,7.108,K,361.042,6.014,6.541,0.192,7.242,600.7412461,1.986117061,6.181875,0
401,32,1,2,4,130,164,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?",Texas,3.285,S,370.319,5.489,6.023,1.522,8.06,600.7412461,1.54110743,6.181875,NA
402,32,1,2,4,131,137,"In Europe, but not the U.S., what are measured in ""Paris Points""?",Shoe sizes,13.236,S,379.963,6.061,6.591,5.062,12.164,600.7412461,2.953692696,6.181875,NA
403,32,1,2,4,132,181,"James Bond works for M, but what single initial is used for the real-life director of Britain's MI6?",C,15.325,S,395.13,8.646,9.177,2.757,12.448,600.7412461,3.200398509,6.181875,NA
404,32,1,2,4,133,216,"Shakespeare mentioned his wife only once in his will, making her the odd bequest of his ""second best"" what? ",Bed ,15.877,W,410.831,8.593,9.126,15.88,29.011,600.7412461,1.384012292,6.181875,1
405,32,1,2,4,134,893,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,The Discovery,12.062,W,441.264,6.152,6.674,12.065,22.755,600.7412461,1.94821662,6.181875,1
406,32,1,2,4,135,17,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",Molasses,1.721,W,466.008,8.056,8.594,1.724,14.329,600.7412461,1.431044608,6.181875,1
407,32,1,2,4,136,336,What area changed hands 72 times during the Civil War? ,Shenandoah Valley,9.367,W,481.809,6.191,6.724,9.37,20.102,600.7412461,1.360503662,6.181875,1
408,32,1,2,4,137,826,Which animal can go longer without water than a camel can? ,Rat,9.313,W,503.315,7.548,8.076,9.316,21.404,600.7412461,2.197939641,6.181875,1
409,32,1,2,4,138,932,Who is Rashida Jones's famous mother?,Peggy Lipton ,15.512,K,526.959,4.121,4.654,0.147,5.306,600.7412461,2.000035067,6.181875,0
410,32,1,2,4,139,436,"What event was won by the same team the first twenty-five times it was held, from 1851 to 1983?  ",The America's Cup ,1.589,K,534.317,5.819,6.356,0.238,7.108,600.7412461,1.202090154,6.181875,0
411,32,1,2,4,140,521,What is the most sober school according to The Princeton Review? ,Brigham Young University,10.28,K,542.659,5.509,6.04,0.069,6.624,600.7412461,2.686860203,6.181875,1
412,32,1,2,4,141,492,What is a female donkey called?,A jenny ,8.042,W,552.003,4.629,5.156,8.045,17.217,600.7412461,2.249213652,6.181875,1
413,32,1,2,4,142,422,What does a screever do on a sidewalk? ,Draw,12.796,S,571.507,3.413,3.938,1.995,6.441,600.7412461,2.237529622,6.181875,NA
414,32,1,2,4,143,631,"What port, its state's largest city, is nicknamed the Brick City? ","Newark, NJ ",18.663,K,580.234,6.326,6.857,0.068,7.442,600.7412461,2.026711625,6.181875,1
415,32,1,2,4,144,814,Where in the body would you find chyme secreted? ,The stomach ,4.505,S,589.744,2.496,3.02,0.435,3.971,600.7412461,3.175553694,6.181875,NA
416,32,1,2,4,145,306,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,Xanadu ,0.829,NA,596.936,NA,NA,NA,NA,600.7412461,1.76796472,6.181875,NA
417,35,1,1,1,1,428,What element must be burned out of pig iron to make steel? ,Carbon,19.827,W,0.027,6.557,7.091,19.836,30.947,605.0193431,1.411074451,7.363741935,0
